Jan_tmp Feb_tmp Mar_tmp Apr_tmp Mai_tmp Jun_tmp Jul_tmp Aug_tmp Sep_tmp Okt_tmp Nov_tmp Dez_tmp
-41.86 -36.46 -19.86 -6.26 4.14 14.24 18.44 14.54 7.04 -3.66 -28.76 -34.46
-33.26 -31.36 -17.36 -4.86 6.04 13.14 18.94 14.14 5.64 -5.56 -28.36 -35.46
-34.66 -29.86 -20.36 -7.36 5.24 14.74 19.14 15.04 6.94 -6.86 -22.86 -38.36
-40.86 -35.86 -19.86 -6.96 4.64 14.24 19.04 14.04 5.64 -6.06 -25.76 -32.96
-34.56 -33.76 -18.66 -6.86 5.34 13.94 18.24 14.64 6.34 -6.76 -24.96 -30.96
-34.56 -28.86 -19.56 -8.06 5.14 13.84 17.34 15.04 6.94 -7.26 -24.16 -30.96
-28.56 -36.06 -21.06 -6.66 5.54 13.84 18.34 15.64 7.34 -3.76 -26.26 -33.06
-32.76 -32.86 -14.86 -7.36 3.44 13.64 19.04 16.84 7.54 -5.36 -26.86 -35.56
-39.76 -35.86 -23.06 -7.66 5.64 16.04 17.14 13.44 8.94 -3.36 -18.76 -33.36
-36.86 -33.66 -19.66 -7.26 3.14 15.24 17.54 15.24 5.84 -4.06 -25.76 -33.36
-39.16 -35.36 -16.66 -6.66 6.34 14.04 17.94 16.34 5.84 -5.96 -23.86 -37.46
-30.46 -35.36 -16.26 -8.06 4.24 15.54 19.24 16.14 6.54 -4.66 -22.56 -36.66
-42.76 -35.16 -18.96 -10.56 4.34 14.94 17.44 13.44 8.84 -2.86 -20.26 -24.76
-25.56 -26.86 -18.36 -7.16 4.84 14.94 20.04 14.54 8.94 -3.86 -28.96 -32.06
-29.16 -37.36 -21.86 -8.76 2.14 14.84 16.64 15.64 6.44 -3.16 -21.76 -32.36
-32.76 -19.46 -18.96 -8.96 5.74 15.34 20.44 13.64 6.34 -5.36 -24.26 -31.46
-32.56 -20.86 -22.76 -9.76 5.34 13.64 19.34 14.24 6.94 -9.56 -27.96 -32.86
-38.86 -31.66 -18.96 -5.16 7.24 12.84 20.44 15.44 8.34 -7.66 -27.96 -27.46
-26.96 -26.46 -24.86 -7.06 6.74 16.14 18.34 13.64 7.24 -6.86 -25.06 -34.96
-29.66 -29.76 -14.76 -4.06 5.74 14.54 18.04 16.14 8.74 -8.36 -20.26 -33.86
-38.36 -23.06 -18.76 -4.66 4.34 14.74 15.84 15.54 8.04 -6.56 -24.06 -24.96
-37.76 -27.16 -18.96 -5.16 3.54 15.14 18.04 13.04 4.04 -10.36 -26.06 -35.66
-39.46 -35.06 -26.96 -8.76 4.74 17.14 21.64 15.44 7.04 -4.46 -23.46 -37.66
-27.96 -30.16 -22.66 -9.46 4.64 13.34 18.34 13.34 6.64 -8.46 -25.66 -28.86
-31.16 -24.76 -13.06 -0.86 8.14 11.94 17.34 14.24 8.04 -2.06 -24.86 -35.26
-33.36 -27.76 -16.26 -6.36 3.84 13.44 17.54 15.14 8.04 -7.76 -23.96 -30.06
-36.06 -28.26 -18.26 -3.16 6.84 16.34 18.74 15.34 7.94 -2.76 -18.96 -39.36
-37.86 -33.76 -21.06 -3.36 2.64 13.44 19.34 12.94 3.04 -4.66 -26.36 -38.26
-38.96 -31.76 -18.46 -3.66 7.64 16.64 19.24 13.54 6.64 0.24 -26.46 -33.96
-30.76 -28.56 -13.46 -4.46 4.84 15.14 19.44 15.84 7.34 -2.36 -15.66 -31.76
-27.16 -28.76 -19.06 -5.46 6.84 14.64 17.34 14.74 8.74 -2.06 -30.06 -33.36
-36.46 -29.76 -19.86 -7.56 5.74 14.34 16.94 12.74 5.14 -6.86 -26.96 -37.16
-35.26 -35.66 -19.46 -9.16 5.94 12.34 15.94 14.74 8.74 -2.26 -19.76 -25.56
-39.86 -33.06 -19.76 -8.16 3.34 13.24 19.34 14.84 7.14 -10.46 -31.56 -35.46
-37.36 -26.06 -15.26 -2.96 6.54 15.14 18.44 12.94 7.04 -4.46 -24.16 -29.96
-35.66 -32.16 -17.76 -6.36 2.14 15.54 18.64 15.64 5.74 -5.76 -25.16 -30.86
-24.76 -35.26 -25.86 -9.46 6.44 15.14 16.74 14.94 5.34 -5.36 -23.46 -39.86
-37.66 -26.76 -20.66 -11.26 1.04 16.34 19.14 12.94 7.24 -8.26 -20.46 -29.66
-25.96 -33.66 -19.76 -7.36 4.94 14.74 17.34 13.94 2.24 -7.36 -28.46 -31.36
-37.06 -28.66 -23.56 -7.96 4.04 12.14 17.04 14.24 6.34 -8.06 -23.66 -35.66
-37.76 -24.06 -11.36 -8.16 2.94 17.64 16.14 16.04 9.24 -6.06 -20.26 -34.36
-37.76 -30.86 -23.36 -7.96 4.14 16.64 17.24 13.64 5.34 -7.46 -26.96 -32.96
-38.66 -27.76 -18.36 -9.06 4.24 12.74 17.54 13.64 8.54 -6.96 -22.26 -32.16
-25.16 -22.06 -19.76 -7.66 3.64 12.74 17.44 14.74 6.04 -5.96 -27.26 -32.66
-29.16 -23.06 -15.46 -10.46 2.04 13.34 18.84 15.24 6.74 -2.46 -21.86 -29.56
-27.86 -25.86 -20.16 -9.36 3.84 14.04 19.74 13.84 4.94 -7.96 -25.56 -36.06
-37.86 -34.86 -19.16 -4.46 3.74 11.94 17.24 13.54 6.34 -4.66 -28.36 -38.96
-37.26 -38.76 -25.16 -10.56 6.14 15.24 16.14 15.04 6.04 -6.96 -27.36 -30.46
-28.16 -30.16 -19.76 -6.26 6.64 18.04 19.54 14.54 6.04 0.04 -20.16 -26.96
-36.56 -27.16 -9.96 0.34 6.34 14.74 19.14 13.54 4.84 -5.26 -30.16 -34.96
-38.16 -39.26 -21.96 -8.86 5.14 13.94 18.74 16.24 3.54 -7.06 -23.66 -31.26
-34.96 -32.36 -20.96 -6.86 2.94 14.54 20.74 12.74 6.94 -7.46 -22.46 -32.86
-30.16 -35.06 -20.16 -7.26 7.04 15.34 19.84 15.24 8.04 -3.96 -16.26 -29.86
-34.36 -30.06 -19.26 -5.66 4.44 14.04 17.64 13.14 5.84 -6.76 -30.76 -30.76
-28.86 -27.36 -18.36 -10.36 7.44 14.74 18.94 15.34 9.04 -5.36 -26.46 -26.46
-36.66 -34.56 -17.56 -6.56 8.04 12.64 17.54 14.54 7.14 -10.06 -26.26 -36.66
-30.76 -31.86 -12.66 -4.16 8.34 18.04 17.84 13.14 5.74 -3.86 -21.96 -24.46
-32.16 -33.26 -20.56 -2.86 4.84 12.94 16.84 14.34 6.54 -9.56 -23.56 -35.56
-34.66 -33.36 -19.26 -5.06 7.04 14.14 15.64 12.54 5.34 -10.26 -26.06 -32.26
-37.66 -25.76 -16.46 -2.76 3.64 13.74 16.34 14.84 5.04 -4.46 -12.96 -33.56
-43.09 -34.23 -18.69 -6.98 4 14.75 16.71 12.78 4.83 -8.94 -26.12 -24.36
-35.29 -28.13 -21.16 -6.31 3.8 13.65 21.02 16.72 5.06 -5.15 -25.83 -33.04
-25.33 -28.57 -18.45 -3.47 6.88 14.25 17.13 13.08 2.76 -7.26 -23.42 -27.11
-35.05 -25.69 -19.83 -2.43 4.34 12.66 18.37 12.94 3.89 -11.57 -31.35 -33.08
-32.92 -29.66 -12.52 -7.17 4.67 12.71 15.73 15.06 7.14 -8.03 -12.88 -26.84
-30.79 -30.11 -18.29 -6.63 6.45 12.89 19.74 13.4 5.28 -9.74 -24.91 -26.93
-41.02 -32.98 -18.84 -4.34 5.53 15.8 15.7 14.22 4.5 -6.78 -16.62 -31.56
-35.37 -22.64 -17.36 -6.04 3.44 15.05 21.52 14.86 6.13 -4.01 -22.59 -31.27
-35.12 -25.94 -19.36 -6.14 1.38 11.9 16.23 14.14 3.68 -6.88 -30.49 -35.61
-30.9 -30.92 -18.31 -5.51 5.05 15 18.44 13.52 8.18 -3.63 -17.63 -22.11
-30.7 -19.53 -12.33 -6.49 5.53 12.08 15.91 13.1 4.35 -6.82 -20.15 -29.01
-38.14 -29.57 -5.92 -4.28 9.08 15.64 15.99 16.88 3.97 -3.5 -22.57 -29.34
-29.28 -30.13 -18.93 -4.55 4.12 11.95 20.12 15.43 6.07 -6.58 -20.69 -28.15
-26.24 -25.44 -15.61 -5.1 6.17 15.18 18.3 14.24 3.84 -2.95 -27.68 -24.64
-23.53 -22.51 -12.91 -6.71 4.75 14.04 19.66 14.46 4.63 -6.05 -22.31 -32.1
-42.21 -29.8 -16.94 -6.68 4.68 12.52 17.44 13.12 5.16 -4.03 -19.01 -32.17
-27.59 -20.8 -17.95 -5.85 2.9 15.58 16.77 14.71 5.57 -2.9 -19.05 -22.28
-33.25 -24.25 -16.02 -4.76 5.15 13.44 19.41 12.68 2.93 -6.75 -17.67 -35.65
-30.52 -25.11 -18.14 0.13 6.12 13.43 17.82 14.37 4.01 -3.85 -21.42 -27.49
-34.89 -23.53 -15.01 -4.08 3.24 16.74 19.1 18.13 3.51 -8.06 -29.97 -33.55
-34.12 -26.56 -23.86 -4.52 5.43 13.74 19.75 12.32 5.13 -9.14 -21.56 -29.86
-31.18 -27.32 -17.68 -3.04 5.8 15.96 17.22 14.38 4.4 -9.55 -24.19 -39.67
-34.35 -33.3 -19.53 -7.39 6.03 16.53 21.98 14.11 3.26 -5.9 -15.05 -29.72
-29.59 -23.63 -12.17 -3.35 7.13 15.58 19.58 16.74 4.9 -7.17 -19.37 -35
-29.62 -25.17 -10.89 -3.38 3.49 13.86 20.15 13.89 6.04 -5.85 -22.23 -21.99
-33.27 -33.37 -18.97 -4.55 3.89 11.76 16.13 13.34 5.4 -7.46 -14.52 -37.22
-31.7 -28.05 -15.64 -1.63 7.43 15.72 18.56 12.26 8.38 -5.29 -20.16 -27.97
-38.45 -27.37 -18.01 -6.01 6.15 15.56 18.6 14.25 6.55 -7.73 -23.55 -24.98
-21.11 -33.58 -15.96 0.01 6.35 14.77 16.31 15.1 5.76 -4.1 -17.65 -28.3
-30.03 -20.42 -9.38 -5.73 6.41 17.26 17.57 15.13 3.7 -2.8 -24.32 -36.41
-28.35 -36.72 -19.49 -2.53 4.47 16.99 18.09 15 6.24 -4.53 -24 -34.31
-32.12 -30.29 -17.9 -5.19 7.81 15.05 19.62 14.4 3.53 -6.33 -16.77 -36.87
-27.68 -29.73 -11.81 -1.51 8.37 15.44 19.33 15.65 3.31 -3.82 -20.09 -28.39
-31.5 -25.53 -20.5 -4.83 7.19 15.47 20.13 12.12 6.95 -8.71 -22.28 -30.96
-35.03 -30.42 -19.86 -4.55 9.07 17.38 16.87 14.9 4.83 -3.78 -16.97 -25.05
-39.29 -33.87 -11.51 0.59 8.48 15.08 20.86 14.64 4.49 -5.78 -21.6 -30.67
-28.39 -22.61 -12.79 -4.94 5.95 15.38 19.73 15.97 5.09 -5.08 -18.62 -25.8
-24.68 -27.26 -12.12 -1.85 4.12 14.76 17.75 13.01 7.36 -7.36 -22.32 -31.81
-27.61 -24.9 -8.55 -2.3 4.33 18.29 17.28 16.18 4.92 -5.27 -22.14 -32.45
-30.61 -28.98 -16.61 -2.74 6.77 18.3 18.06 15.66 5.02 -0.75 -20.99 -27.77
-28.71 -19.49 -11.38 -2.81 7.07 18.45 19.79 16.17 5.4 -2.09 -24.03 -33.68
-33.59 -31.63 -21 -7 15.95 9.77 17.83 20.64 2.16 -4 -17.93 -35.98
-28.57 -31.43 -14.87 -3.51 16.43 9.83 17.96 21.65 2.37 -2.15 -20.1 -27.65
-33.17 -27.04 -24.28 -6.94 14.75 9.98 18.68 18.31 6.12 -6.27 -22.31 -30.33
-36.5 -31.74 -23.64 -6.66 16.63 11.9 15.42 21.09 4 -1.34 -17 -24.43
-40.75 -35.09 -14.64 -1.18 16.33 9.84 19.57 20.52 3.28 -3.85 -22.4 -29.78
-29.74 -23.93 -16.31 -6.3 13.86 9.99 18.24 22.02 3.9 -2.75 -19 -25.59
-25.87 -28.91 -15.9 -3.96 11.69 9.27 16.3 19.19 6.54 -4.92 -22.35 -31.19
-29.08 -26.22 -12.32 -4.41 11.89 12.81 15.83 22.37 4.1 -2.83 -22.17 -31.83
-32.07 -30.34 -19.7 -4.24 14.5 13.09 16.26 21.8 3.99 1.43 -22.12 -26.45
-30.09 -37.27 -20.74 -4.01 9.91 20.19 18.69 20.06 10.08 -0.87 -22.17 -33.61
-32.71 -31.73 -18.84 -6.65 13.34 18.46 19.83 19.6 7.2 -2.11 -15.29 -35.94
-28.03 -31.49 -12.71 -3.16 13.82 18.52 19.96 20.61 7.41 -0.25 -17.46 -27.61
-32.64 -27.22 -21.59 -6.19 12.83 18.66 20.89 16.71 11.07 -4.79 -20.64 -29.99
-36.32 -31.16 -21.38 -5.47 14.07 20.88 17.43 19.76 8.62 0.39 -14.32 -25.48
-39.93 -35.19 -12.48 -0.82 13.72 18.53 21.57 19.48 8.32 -1.95 -19.77 -29.74
-29.2 -23.98 -14.15 -5.94 11.25 18.69 20.24 20.98 8.94 -0.86 -16.37 -25.54
-25.33 -28.65 -13.5 -3.12 9.46 18.28 18.1 18.12 10.82 -3.34 -20.37 -30.59
-28.35 -27.06 -9.04 -4.08 9.81 21.81 17.58 21.18 8.52 -1.35 -20.04 -31.54
-32.05 -29.94 -17.53 -3.89 11.89 21.78 18.26 20.76 9.03 3.32 -19.49 -26.4
-28.9 -34.57 -18.98 -2.09 11.72 16.42 17.59 23.23 5.82 -2.76 -25.42 -34.48
-31.52 -29.08 -16.31 -4.5 15.73 14.77 18.46 22.74 2.67 -4.16 -19.8 -36.27
-26.71 -28.87 -10.41 -0.97 16.05 14.79 18.96 23.49 3.02 -2.8 -20.78 -28.52
-31.25 -25.04 -19.83 -4.27 14.64 14.89 19.8 19.89 6.82 -6.69 -23.89 -30.85
-35.13 -28.46 -19.63 -3.54 15.88 17.11 16.34 22.93 4.37 -1.51 -17.58 -26.35
-38.75 -32.24 -9.99 1.15 15.78 15.1 20.61 22.52 3.48 -4.4 -23.79 -30.4
-27.82 -21.17 -12.12 -3.35 13.42 14.98 19.2 23.84 4.34 -2.85 -19.89 -26.61
-24.14 -26.18 -11.74 -1.2 11.27 14.51 17.01 21.3 6.56 -5.23 -23.62 -31.46
-27.17 -24.35 -7.29 -2.16 11.62 18.04 16.49 24.35 4.27 -3.25 -23.3 -32.4
-30.87 -27.29 -15.24 -1.22 13.69 18.51 16.91 23.57 4.75 1.04 -23.82 -26.46
-31.54 -36.35 -19.36 -1.97 9.3 20.66 17.84 20.56 6.56 -1.92 -24.96 -33.61
-33.08 -31.6 -17.13 -4.68 12.95 18.84 18.77 20.14 3.8 -2.69 -18.65 -35.35
-28.53 -31.38 -11.24 -1.16 13.26 18.86 19.27 20.9 4.15 -1.33 -19.63 -27.6
-33.08 -27.62 -20.09 -4.08 12.43 19.02 20.11 17.02 7.63 -5.66 -23.55 -29.87
-37.32 -29.85 -20.55 -2.89 13.17 21.28 16.88 20.07 4.94 -0.54 -16.11 -26.46
-40.21 -34.84 -10.81 0.96 12.99 19.17 20.92 19.92 4.62 -2.93 -22.65 -29.48
-29.64 -23.68 -12.95 -3.53 10.63 19.05 19.51 21.25 5.47 -1.38 -18.75 -25.69
-25.96 -28.43 -12.2 -1.15 9.14 18.52 17.23 18.69 7.08 -4.13 -23.19 -30.09
-28.7 -27.34 -7.17 -2.45 9.48 22.2 16.8 21.4 4.92 -2.23 -22.57 -30.97
-33.54 -29.35 -16.07 -1.4 10.9 22.58 17.22 20.97 5.88 2.51 -22.68 -25.54
-30.77 -37.83 -22.36 -5.99 7.79 21.95 21.09 25.28 6.55 -2.76 -24.53 -34.84
-32.31 -33.12 -19.41 -8.32 11.69 20.5 21.73 24.6 3.75 -3.85 -19.12 -36.08
-28.12 -32.47 -13.82 -4.95 12.28 20.16 22.51 25.34 3.98 -2.64 -19.64 -28.85
-31.83 -29.7 -23.08 -8.11 10.91 20.31 23.36 21.74 7.62 -6.5 -23.12 -31.1
-36.55 -31.33 -23.55 -6.91 11.65 22.57 20.14 24.78 4.93 -1.38 -15.68 -27.69
-39.45 -36.05 -13.17 -2.73 11.45 20.94 24.08 24.56 4.21 -4.38 -22.9 -30.36
-28.74 -24.94 -15.88 -6.86 9.39 20.55 22.66 25.8 5.06 -2.56 -18.56 -26.77
-25.87 -29.61 -15.19 -5.17 7.63 19.81 20.49 23.41 7.08 -4.96 -22.76 -31.32
-27.94 -28.81 -10.16 -6.47 7.96 23.49 20.06 26.11 4.91 -3.06 -22.14 -32.2
-32.77 -30.78 -18.6 -4.87 9.67 24.3 20.28 25.32 5.74 1.16 -23.21 -25.98
-31.06 -35.91 -18.97 -0.27 16.56 22.63 15.95 22.82 6.08 -4.77 -22.99 -33.26
-31.63 -31.66 -16.48 -3.02 19.87 21.2 16.65 22.47 3.46 -5.24 -17.1 -34.36
-27.57 -31.12 -10.89 0.35 20.46 20.86 17.43 23.21 3.69 -4.03 -17.62 -27.12
-31.28 -28.38 -19.57 -2.45 19.65 21.15 18.22 19.46 6.79 -8.4 -21.82 -29.28
-36.33 -29.07 -20.56 -0.83 20.02 23.35 15.21 22.4 4.19 -3.05 -13.7 -26.84
-38.77 -34.59 -10.24 2.57 19.63 21.64 19 22.43 3.92 -5.77 -20.88 -28.64
-28.18 -23.59 -12.95 -1.56 17.57 21.25 17.58 23.67 4.78 -3.95 -16.54 -25.05
-25.32 -27.89 -11.91 0.36 16.28 20.29 15.64 21.18 6.26 -6.82 -21.45 -29.19
-27.37 -27.5 -6.61 -1.07 16.85 24.15 15.1 23.68 4.18 -5.06 -20.42 -29.95
-33.13 -28.97 -15.67 0.43 17.85 25 15.2 23.19 5.45 -0.23 -21.19 -24.25
-30.59 -35.03 -17.83 -2.12 8.65 18.41 14.72 21.52 2.31 -5.47 -24.94 -35.67
-31.16 -30.8 -14.59 -4.47 12.21 17.3 15.18 20.86 -0.46 -6.36 -19.69 -36.22
-27.76 -29.96 -9.05 -1.23 13.04 16.77 16.14 21.56 -0.31 -5.02 -20.19 -29.28
-30.85 -27.78 -18.43 -4.3 11.75 16.93 16.98 18.16 3.02 -9.1 -23.76 -31.69
-35.86 -28.19 -19.42 -2.68 12.12 19.12 13.98 21.1 0.42 -3.76 -15.64 -29.24
-38.3 -33.27 -8.59 1.01 11.83 17.75 17.68 20.94 -0.14 -7.19 -23.26 -30.97
-27.71 -22.03 -11.87 -2.77 9.99 17.28 16.12 22.41 0.42 -5.06 -18.95 -26.85
-25.67 -26.69 -10.76 -1.49 8.38 16.06 14.41 19.88 2.49 -7.52 -23.39 -31.59
-26.9 -26.63 -5.47 -2.92 8.94 19.92 13.87 22.38 0.4 -5.77 -22.36 -32.35
-32.66 -27.94 -14.08 -1.09 10.48 20.9 13.73 21.62 1.57 -1.23 -24.11 -26.17
-32.61 -34.53 -21.18 -0.02 11.11 20.86 19.34 16.61 0.21 -6.91 -24.92 -34.16
-32.43 -30.7 -18.46 -2.99 14.15 20 19.75 16.3 -2.33 -7.15 -19.29 -34.62
-29.06 -30.02 -12.92 0.25 14.98 19.47 20.7 17.01 -2.18 -5.81 -19.79 -27.68
-32.15 -27.89 -21.72 -2.26 14.06 19.76 21.34 13.61 0.56 -10.34 -24.15 -30.08
-37.24 -27.42 -23.09 -0.58 14.34 21.85 18.57 16.34 -1.9 -5.08 -15.2 -28
-40.12 -32.85 -12.46 2.49 13.77 20.45 22.25 16.39 -2.02 -7.98 -22.86 -29.37
-29.01 -22.09 -15.74 -1.29 11.94 19.98 20.68 17.86 -1.45 -5.85 -18.55 -25.25
-26.98 -26.42 -14.16 0.05 10.58 19.03 19.01 15.26 0.12 -8.83 -23.74 -29.61
-28.4 -26.25 -8.86 -1.29 11.52 22.6 18.36 17.66 -1.85 -7.13 -22.53 -30.04
-34.77 -27.58 -17.95 0.39 12.42 23.6 18.29 17.06 -0.3 -2.02 -23.71 -24.57
-27.79 -30.87 -15.84 1.56 11.12 26.79 24.02 24.9 10.22 -2.26 -22.24 -30.85
-27.61 -27.04 -13.11 -1.41 14.17 25.93 24.43 24.59 7.68 -2.5 -16.61 -32.53
